uri_path	country	hits
/mediawiki/1.23/mediawiki-1.23.0-rc.1.patch.gz	United States	28
/mediawiki/1.5/mediawiki-1.5.6.tar.gz	United States	28
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Egypt	28
/mediawiki/1.9/mediawiki-1.9.1.tar.gz	United States	28
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Portugal	28
/mediawiki/1.23/mediawiki-1.23.1.tar.gz	United States	28
/mediawiki/1.18/mediawiki-1.18.0.tar.gz	United States	28
/mediawiki/1.19/mediawiki-1.19.10.patch.gz	United States	27
/mediawiki/1.21/mediawiki-1.21.0.patch.gz	United States	27
/mediawiki/1.6/mediawiki-1.6.10.tar.gz	United States	27
/mediawiki/1.11/mediawiki-1.11.1.tar.gz	United States	27
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Hungary	27
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Hungary	27
/mediawiki/1.10/mediawiki-1.10.0rc1.tar.gz	United States	27
/mediawiki/1.14/mediawiki-1.14.0.tar.gz	United States	27
/mediawiki/1.19/mediawiki-1.19.10.tar.gz	United States	27
/mediawiki/1.18/mediawiki-1.18.0.patch.gz	United States	27
/mediawiki/1.22/mediawiki-1.22.0rc0.tar.gz	United States	27
/mediawiki/1.12/mediawiki-1.12.0.patch.gz	United States	27
/mediawiki/1.12/mediawiki-1.12.0.tar.gz	United States	27
/mediawiki/1.8/mediawiki-1.8.2.tar.gz	United States	27
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	France	26
/mediawiki/1.11/mediawiki-1.11.2.tar.gz	United States	26
/mediawiki/1.3/mediawiki-1.3.18.tar.gz	United States	26
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Unknown	26
/mediawiki/1.5/mediawiki-1.5.8.tar.gz	United States	26
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Japan	25
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Philippines	25
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	United States	25
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Belgium	24
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Colombia	24
/mediawiki/1.25/mediawiki-core-1.25.1.tar.gz	United States	24
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Angola	24
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Kazakhstan	24
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Finland	24
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Brazil	24
/mediawiki/1.8/mediawiki-1.8.5.tar.gz	United States	24
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Unknown	23
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Unknown	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Venezuela	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	New Zealand	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Egypt	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Iran	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Angola	22
/mediawiki/1.23/mediawiki-1.23.6.tar.gz	United States	22
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Taiwan	22
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Myanmar [Burma]	22
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Tunisia	22
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Portugal	22
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Mexico	22
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Denmark	22
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Morocco	21
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Russia	21
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Chile	21
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Pakistan	21
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Spain	21
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Madagascar	21
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Brazil	21
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Ireland	21
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Argentina	21
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Hong Kong	20
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	China	20
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Yemen	20
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Netherlands	20
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	United States	19
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Romania	19
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Canada	18
